cell_id_ch2,lysosomes_in_cell,cell_id_serial,cell_volume_um3
1,7,1,30.22143454203609
2,11,2,36.454574688501864
3,11,3,27.812987291949877
4,10,4,22.448830154318472
5,8,5,34.99131546358345
6,6,6,38.90788456917146
