,location_ch2,cell_id_serial,lys_id_serial,diameter_um,peak_gray
0,cell,1,8,0.4335203170776367,14379.0
1,cell,1,6,0.3544228971004486,12460.0
2,cell,1,11,0.3914927542209625,12039.0
3,cell,1,10,0.38505250215530396,11664.0
4,cell,1,4,0.550000011920929,11704.0
5,cell,1,2,0.5513750119507312,11777.0
6,cell,1,12,0.38657742738723755,11383.0
7,cell,1,7,0.3777769207954407,11450.0
8,cell,1,1,0.36105385422706604,10955.0
9,cell,1,9,0.4353500008583069,11050.0
10,cell,1,5,0.3317882716655731,10824.0
11,cell,1,3,0.33078891038894653,10706.0
