cell_id,cell_signal_total_CH1,signal_inside_mask_CH1,signal_percent_inside_mask
1,37296312.0,37036832.0,99.3042743743671
2,975052.0,975052.0,100.0
3,70086768.0,70075784.0,99.98432799754727
4,79154600.0,78674936.0,99.39401626690048
5,99700696.0,99590472.0,99.8894451047764
6,61076672.0,61003024.0,99.87941713654601
