cell_id,cell_signal_total_CH1,signal_inside_mask_CH1,signal_percent_inside_mask
1,104823.0,104823.0,100.0
2,7017929.0,7017264.0,99.99052427005175
3,46696068.0,46696068.0,100.0
4,22988008.0,22988008.0,100.0
5,22245296.0,22242232.0,99.98622630150662
6,184622.0,184622.0,100.0
7,19356124.0,19356124.0,100.0
8,95857.0,94942.0,99.04545312288096
