cell_id_ch2,lysosomes_in_cell,cell_id_serial,cell_volume_um3
1,2,1,17.14858690135381
2,4,2,32.60038307612226
3,6,3,32.28450099228855
4,4,4,35.71741406679265
5,4,5,39.25111442096354
6,3,6,21.024595272441772
7,4,7,27.666108268533037
