id,z_um,y_um,x_um,radius_um,diameter_um,volume_um3,peak_gray,location_ch2,cell_id_ch2,cell_id_ch2_viz,lys_id_in_cell,lysosome_signal_individual,cell_signal_total,lysosome_core_signal,cell_volume_um3,lysosome_core_volume_um3,cell_id_serial,lys_id_serial
1,7.48,6.4197545,27.294586,0.24498935043811798,0.48997870087623596,0.06159283977338328,40752,cell,5,5,5,5633562.0,99700696.0,19869696.0,19.691929321481847,0.47873957841723835,5,5
2,6.63,23.000578,14.199987,0.20751887559890747,0.41503775119781494,0.037433585413482136,39038,cell,3,3,7,2805025.0,70086768.0,23486260.0,10.91268125026303,0.7491444750842279,3,7
3,3.06,4.1239486,13.944898,0.27024900913238525,0.5404980182647705,0.08267628242745453,39764,cell,2,2,3,6618627.0,975052.0,37053868.0,0.01966581066669015,0.6793923028758113,2,3
4,7.65,16.580824,8.8005905,0.28701484203338623,0.5740296840667725,0.09903795760571825,37742,cell,6,6,3,7719369.0,61076672.0,14819896.0,12.676458644431804,0.47628135208390204,6,3
5,2.72,2.9760451,14.582622,0.23633027076721191,0.47266054153442383,0.05529000980355814,36264,cell,2,2,1,4095136.0,975052.0,37053868.0,0.01966581066669015,0.6793923028758113,2,1
6,5.78,4.379038,15.26286,0.24684613943099976,0.4936922788619995,0.0630039281534554,33740,cell,2,2,11,4396334.0,975052.0,37053868.0,0.01966581066669015,0.6793923028758113,2,11
7,7.14,16.070644,8.332927,0.17903321981430054,0.3580664396286011,0.024037509902296375,33025,cell,6,6,1,1310973.0,61076672.0,14819896.0,12.676458644431804,0.47628135208390204,6,1
8,5.9500003,19.769444,12.754479,0.30021607875823975,0.6004321575164795,0.1133418909069713,33619,cell,3,3,6,6438236.0,70086768.0,23486260.0,10.91268125026303,0.7491444750842279,3,6
9,9.18,1.7856271,17.091002,0.23433205485343933,0.46866410970687866,0.05389937284225166,32754,cell,0,0,0,3611638.0,0.0,0.0,0.0,0.0,0,0
10,2.72,3.656284,13.944898,0.4,0.8,0.26808257310632905,34308,cell,2,2,2,13844265.0,975052.0,37053868.0,0.01966581066669015,0.6793923028758113,2,2
11,3.57,4.974247,14.582622,0.14595869183540344,0.2919173836708069,0.013025022921686733,30780,cell,2,2,5,597415.0,975052.0,37053868.0,0.01966581066669015,0.6793923028758113,2,5
12,4.08,5.2293367,14.752681,0.22185610234737396,0.4437122046947479,0.04574069360627695,31403,cell,2,2,8,2526623.0,975052.0,37053868.0,0.01966581066669015,0.6793923028758113,2,8
13,7.14,14.497592,13.137114,0.1947004199028015,0.389400839805603,0.030916425351953818,27453,cell,4,4,8,1354647.0,79154600.0,14243890.0,12.622070386806739,0.5346642275006385,4,8
14,6.46,12.32933,14.667651,0.244694322347641,0.489388644695282,0.0613705883549707,29768,cell,4,4,3,3238254.0,79154600.0,14243890.0,12.622070386806739,0.5346642275006385,4,3
15,4.08,1.870657,14.412561,0.1932726502418518,0.3865453004837036,0.030241255338484298,28079,cell,2,2,7,1382140.0,975052.0,37053868.0,0.01966581066669015,0.6793923028758113,2,7
16,6.8,11.776636,11.394002,0.25242137908935547,0.5048427581787109,0.06737007250525562,28393,cell,4,4,5,3392261.0,79154600.0,14243890.0,12.622070386806739,0.5346642275006385,4,5
17,7.31,9.650889,25.764048,0.15223324298858643,0.30446648597717285,0.014778049153948597,26294,cell,5,5,2,495340.0,99700696.0,19869696.0,19.691929321481847,0.47873957841723835,5,2
18,9.86,0.6802389,15.43292,0.1850312203168869,0.3700624406337738,0.0265352784063269,26478,cell,0,0,0,1025148.0,0.0,0.0,0.0,0.0,0,0
19,7.82,6.6323295,26.741892,0.398,0.796,0.2640814071923955,27482,cell,5,5,7,9042970.0,99700696.0,19869696.0,19.691929321481847,0.47873957841723835,5,7
20,7.31,13.307174,11.436517,0.19085191190242767,0.38170382380485535,0.029119113831165312,25451,cell,4,4,9,1168437.0,79154600.0,14243890.0,12.622070386806739,0.5346642275006385,4,9
21,5.9500003,12.626935,13.094599,0.18411999940872192,0.36823999881744385,0.02614517203230808,25245,cell,4,4,2,963896.0,79154600.0,14243890.0,12.622070386806739,0.5346642275006385,4,2
22,7.31,22.362854,13.987412,0.21641908586025238,0.43283817172050476,0.042459539936489425,25026,cell,3,3,10,1442224.0,70086768.0,23486260.0,10.91268125026303,0.7491444750842279,3,10
23,9.18,16.240704,6.759874,0.21359755098819733,0.42719510197639465,0.04082041505101045,24337,cell,6,6,6,1679061.0,61076672.0,14819896.0,12.676458644431804,0.47628135208390204,6,6
24,5.1,21.937704,14.029927,0.2662201225757599,0.5324402451515198,0.07903350571161663,24361,cell,3,3,2,2873245.0,70086768.0,23486260.0,10.91268125026303,0.7491444750842279,3,2
25,5.1,21.55507,13.944898,0.2880439758300781,0.5760879516601562,0.10010712747557284,24509,cell,3,3,1,3689481.0,70086768.0,23486260.0,10.91268125026303,0.7491444750842279,3,1
26,6.46,7.6101727,27.84728,0.22236894071102142,0.44473788142204285,0.046058627367351515,24369,cell,5,5,1,1819896.0,99700696.0,19869696.0,19.691929321481847,0.47873957841723835,5,1
